query,url,correct_judgement,workers_judgement
q1,u1,1.0,0.77744
q2,u2,0.5,1.34848
q3,u3,1.0,1.1776266666666668
q4,u4,0.2,0.25
q5,u5,1.3,1.2937866666666669
q3,u6,1.7,1.3215466666666666
q6,u7,0.5,0.8537866666666667
q7,u8,0.2,1.2217066666666667
q8,u9,0.5,0.7661866666666667
q9,u10,0.5,0.57752
q10,u11,0.5,0.3333333333333333
q11,u12,1.7,1.0
q12,u13,1.0,1.43152
q13,u14,1.3,1.213493333333333
q14,u15,1.0,1.4092266666666668
q5,u16,1.0,1.4017866666666663
q15,u17,1.3,1.22288
q16,u18,1.3,1.3733333333333333
q17,u19,1.0,1.30136
q18,u20,1.0,1.3211733333333335
q19,u21,1.3,1.2861066666666667
q20,u22,1.7,1.356666666666667
q8,u23,1.7,0.9333333333333332
q21,u24,1.0,0.8608266666666666
q22,u25,1.3,1.2823466666666667
q23,u26,1.0,0.9630933333333336
q24,u27,1.3,1.8041066666666667
q21,u28,0.8,1.2082666666666668
q25,u29,1.0,1.0658666666666667
q26,u30,1.3,1.3999999999999997
q27,u31,1.3,1.2679733333333334
q28,u32,0.5,0.5
q29,u33,0.5,0.9166666666666666
q26,u34,1.7,2.0
q30,u35,0.2,0.3333333333333333
q31,u36,0.5,0.4166666666666667
q32,u37,1.3,1.4734133333333332
q2,u38,0.8,1.2741066666666667
q25,u39,1.0,1.1309066666666667
q33,u40,1.0,0.86384
q34,u41,0.5,0.89824
q35,u42,1.0,1.3904000000000003
q36,u43,1.3,1.225493333333333
q37,u44,1.0,0.9987733333333332
q38,u45,0.2,0.83824
q39,u46,1.0,1.2442933333333337
q40,u47,1.3,1.29312
q41,u48,1.3,1.2416800000000003
q42,u49,0.5,0.5
q43,u50,1.0,1.2694133333333335
q8,u51,1.7,1.4354133333333332
q32,u52,1.3,1.2664533333333334
q44,u53,1.0,1.2333866666666669
q45,u54,1.3,0.8531999999999998
q46,u55,1.3,1.347386666666667
q47,u56,1.3,1.3513600000000003
q46,u57,0.5,1.1043733333333334
q7,u58,1.3,1.1489333333333334
q48,u59,1.3,1.2420266666666666
q49,u60,0.5,1.26944
q50,u61,1.3,1.2361333333333335
q51,u62,1.7,2.0
q2,u63,1.0,1.4178666666666668
q52,u64,0.5,1.0425066666666667
q53,u65,1.0,1.28528
q42,u66,1.0,1.109546666666667
q34,u67,1.0,0.8838933333333333
q54,u68,1.3,1.3627733333333334
q55,u69,0.5,1.0186933333333337
q56,u70,0.2,0.7088000000000001
q3,u71,1.7,1.4023466666666666
q57,u72,1.0,1.1120533333333331
q58,u73,0.5,0.5
q59,u74,1.0,0.8748
q60,u75,0.5,0.8475199999999999
q61,u76,1.0,0.9650933333333334
q33,u77,1.3,0.7604533333333334
q41,u78,1.0,0.5516
q62,u79,1.0,1.3410933333333332
q20,u80,1.0,1.3517066666666668
q63,u81,1.3,1.33944
q51,u82,1.3,1.4510933333333331
q30,u83,1.7,1.4066666666666665
q24,u84,1.7,2.0
q25,u85,1.0,1.1971733333333334
q12,u86,0.5,0.6602133333333334
q64,u87,0.5,1.02816
q65,u88,1.3,1.3155466666666666
q4,u89,0.8,0.5825066666666667
q64,u90,0.5,1.20296
q66,u91,1.3,1.2021333333333335
q67,u92,1.0,1.2506133333333336
q15,u93,1.0,1.37608
q36,u94,1.3,1.1793333333333331
q68,u95,0.8,1.32712
q20,u96,0.8,1.27656
q69,u97,0.2,1.0012800000000002
q70,u98,1.3,1.0405333333333333
q65,u99,0.8,1.24144
q71,u100,0.8,0.25
q72,u101,0.0,0.1666666666666666
q51,u102,1.3,1.39968
q73,u103,1.0,0.8222133333333334
q74,u104,0.0,0.0
q75,u105,1.0,1.03736
q76,u106,1.0,1.1289866666666668
q77,u107,0.2,0.5889866666666667
q78,u108,1.0,1.3018133333333337
q79,u109,1.3,1.3966666666666665
q22,u110,1.3,1.232106666666667
q80,u111,1.7,1.4566933333333332
q48,u112,0.8,1.2755733333333334
q12,u113,0.2,0.0
q51,u114,0.5,0.5
q1,u115,0.0,0.3333333333333333
q81,u116,1.7,1.8006400000000002
q31,u117,0.5,0.8214133333333334
q82,u118,0.5,0.5
q58,u119,0.5,0.67448
q83,u120,1.0,1.4165599999999998
q84,u121,0.0,0.5
q85,u122,1.0,1.1182133333333335
q27,u123,0.8,1.1688533333333335
q86,u124,1.0,1.09736
q87,u125,1.3,1.3360800000000002
q88,u126,1.3,1.1896266666666666
q52,u127,0.5,0.9811466666666666
q89,u128,1.7,1.4368266666666667
q90,u129,1.0,0.9055733333333332
q7,u130,0.2,0.7600266666666666
q75,u131,0.5,1.2769333333333333
q85,u132,1.3,1.296266666666667
q41,u133,1.3,0.9625333333333334
q6,u134,0.5,0.3333333333333333
q47,u135,1.0,1.0071466666666666
q91,u136,0.5,1.08064
q92,u137,0.5,0.7533333333333333
q93,u138,0.5,1.22696
q94,u139,0.5,0.89728
q55,u140,1.3,0.8208533333333333
q64,u141,0.2,1.2494133333333333
q95,u142,0.8,1.1405333333333332
q80,u143,1.3,1.4058933333333334
q33,u144,1.0,1.3061066666666667
q96,u145,0.0,1.1
q73,u146,1.0,1.0710933333333337
q11,u147,1.0,1.3572
q35,u148,1.0,0.52856
q40,u149,1.3,1.0292266666666663
q20,u150,1.3,1.2597866666666668
q50,u151,0.2,0.3333333333333333
q14,u152,1.0,1.2145066666666668
q97,u153,1.3,1.3999999999999997
q98,u154,1.3,1.3466933333333333
q89,u155,1.7,1.3999999999999997
q99,u156,0.5,0.5229866666666667
q74,u104,0.0,0.0
q100,u157,1.7,1.4234933333333335
q9,u158,0.8,1.3157866666666669
q101,u159,0.0,0.0
q85,u160,1.7,1.2645333333333335
q74,u161,1.3,1.27456
q2,u162,0.5,1.040266666666667
q28,u163,1.0,1.28096
q17,u164,1.3,1.1405333333333332
q102,u165,0.2,0.5780266666666667
q47,u166,1.0,1.3362133333333337
q103,u167,1.3,0.96264
q104,u168,0.2,0.4166666666666667
q105,u169,1.3,1.2805333333333335
q27,u170,1.3,1.3426933333333333
q106,u171,0.2,0.0833333333333333
q94,u172,1.0,0.4166666666666667
q107,u173,0.5,0.4408
q70,u174,1.0,1.3573333333333333
q103,u175,1.3,1.3435733333333335
q69,u176,1.0,0.3333333333333333
q91,u177,0.5,1.2386133333333331
q10,u178,1.0,0.8818933333333335
q108,u179,0.5,0.49792
q40,u180,0.8,1.3393866666666667
q47,u181,1.3,1.2826133333333334
q93,u182,0.2,1.01912
q109,u183,1.7,1.2941333333333331
q39,u184,0.5,0.5
q110,u185,1.3,1.316026666666667
q111,u186,0.5,1.1031466666666667
q112,u187,1.0,0.5
q97,u188,1.3,1.3708
q29,u189,1.0,1.02104
q113,u190,0.5,0.91392
q35,u191,0.5,1.384986666666667
q114,u192,0.5,0.5
q83,u193,1.7,1.7666666666666666
q3,u194,0.5,1.0580533333333333
q51,u195,0.5,0.5866933333333334
q92,u196,0.5,0.25
q115,u197,0.2,0.6817866666666667
q24,u198,1.7,2.0
q116,u199,0.5,0.4166666666666667
q2,u200,0.2,0.5
q91,u201,1.0,1.17064
q117,u202,0.5,1.1657866666666667
q42,u203,0.5,1.0910400000000002
q41,u204,0.0,0.0
q50,u205,0.5,1.1942400000000002
q118,u206,0.2,0.0833333333333333
q98,u207,1.3,0.8653866666666667
q47,u181,1.0,1.2826133333333334
q54,u208,1.0,1.403786666666667
q119,u209,1.3,1.3697333333333332
q101,u210,1.3,1.4035733333333331
q120,u211,0.8,0.8366666666666668
q121,u212,0.5,1.16368
q44,u213,1.0,1.2425866666666667
q122,u214,0.2,0.4166666666666667
q123,u215,1.7,1.4343733333333333
q7,u216,0.5,1.254
q124,u217,1.3,1.15272
q13,u218,0.5,1.33144
q88,u219,1.3,1.27472
q74,u220,0.0,1.2033066666666667
q121,u221,1.0,1.2813333333333334
q81,u222,1.3,1.0166666666666666
q77,u223,1.0,1.1207733333333334
q44,u224,0.8,1.3219733333333334
q125,u225,1.0,1.3520000000000003
q126,u226,1.3,1.305413333333333
q39,u227,0.2,0.76568
q127,u228,0.5,1.3393333333333337
q26,u229,1.3,1.3653866666666667
q128,u230,1.3,1.34256
q129,u231,1.0,1.0465866666666666
q67,u232,1.3,1.3290933333333337
q50,u233,1.0,1.2216533333333337
q130,u234,1.3,1.2839200000000002
q131,u235,1.7,0.95728
q106,u236,0.2,0.1666666666666666
q57,u237,1.3,1.16752
q79,u238,1.7,1.8225066666666667
q120,u239,0.5,0.4166666666666667
q132,u240,1.3,0.8720266666666667
q127,u241,0.5,0.4166666666666667
q105,u242,1.3,1.2544800000000005
q114,u243,0.5,0.7657866666666667
q50,u244,0.2,0.5
q60,u245,1.7,0.9921066666666668
q82,u246,0.5,0.7759733333333334
q93,u247,0.5,1.20504
q7,u248,0.2,0.5902666666666667
q41,u249,1.3,1.145333333333333
q72,u250,0.2,1.3267733333333334
q133,u251,0.5,0.49528
q2,u252,1.0,1.2634933333333336
q78,u253,1.0,1.1509866666666666
q125,u254,1.0,1.2990933333333334
q109,u255,1.7,1.3999999999999997
q39,u256,0.0,1.2064800000000002
